#Algoritmo: Algoritmo Simulated Annealing, Problema: Problema de HimmelBlau
tiempo,best_score,best_position_x,best_position_y
3.048,0.0147269,-2.7858, 3.13916
3.053,0.0147269,-2.7858, 3.13916
3.059,0.0147269,-2.7858, 3.13916
3.062,0.0147269,-2.7858, 3.13916
3.076,0.0147269,-2.7858, 3.13916
3.081,0.0147269,-2.7858, 3.13916
3.086,0.0147269,-2.7858, 3.13916
3.091,0.0147269,-2.7858, 3.13916
3.096,0.0147269,-2.7858, 3.13916
3.101,0.0147269,-2.7858, 3.13916
3.106,0.0147269,-2.7858, 3.13916
3.11,0.0147269,-2.7858, 3.13916
3.115,0.0147269,-2.7858, 3.13916
3.12,0.0147269,-2.7858, 3.13916
3.125,0.0147269,-2.7858, 3.13916
3.13,0.0147269,-2.7858, 3.13916
3.135,0.0147269,-2.7858, 3.13916
3.139,0.0147269,-2.7858, 3.13916
3.144,0.0147269,-2.7858, 3.13916
3.149,0.0147269,-2.7858, 3.13916
3.155,0.0147269,-2.7858, 3.13916
3.159,0.0147269,-2.7858, 3.13916
3.168,0.0147269,-2.7858, 3.13916
3.19,0.0147269,-2.7858, 3.13916
